Time (s)	Position (m)
11.080000	-0.019569
11.090000	-0.018999
11.100000	-0.018431
11.110000	-0.017865
11.120000	-0.017300
11.130000	-0.016738
11.140000	-0.016177
11.150000	-0.015618
11.160000	-0.015061
11.170000	-0.014506
11.180000	-0.013952
11.190000	-0.013401
11.200000	-0.012851
11.210000	-0.012303
11.220000	-0.011757
11.230000	-0.011213
11.240000	-0.010671
11.250000	-0.010131
11.260000	-0.009593
11.270000	-0.009056
11.280000	-0.008522
11.290000	-0.007989
11.300000	-0.007459
11.310000	-0.006930
11.320000	-0.006403
11.330000	-0.005879
11.340000	-0.005356
11.350000	-0.004835
11.360000	-0.004316
11.370000	-0.003799
11.380000	-0.003284
11.390000	-0.002771
11.400000	-0.002260
11.410000	-0.001751
11.420000	-0.001243
11.430000	-0.000738
11.440000	-0.000235
11.450000	0.000266
11.460000	0.000765
11.470000	0.001262
11.480000	0.001757
11.490000	0.002251
11.500000	0.002742
11.510000	0.003231
11.520000	0.003718
11.530000	0.004203
11.540000	0.004686
11.550000	0.005167
11.560000	0.005646
11.570000	0.006123
11.580000	0.006598
11.590000	0.007071
11.600000	0.007541
11.610000	0.008010
11.620000	0.008477
11.630000	0.008941
11.640000	0.009404
11.650000	0.009864
11.660000	0.010323
11.670000	0.010779
11.680000	0.011233
11.690000	0.011686
11.700000	0.012136
11.710000	0.012584
11.720000	0.013030
11.730000	0.013474
11.740000	0.013915
11.750000	0.014355
11.760000	0.014793
11.770000	0.015228
11.780000	0.015662
11.790000	0.016093
11.800000	0.016522
11.810000	0.016949
11.820000	0.017374
11.830000	0.017797
11.840000	0.018218
11.850000	0.018637
11.860000	0.019053
11.870000	0.019468
11.880000	0.019880
11.890000	0.020290
11.900000	0.020698
11.910000	0.021104
11.920000	0.021508
11.930000	0.021910
11.940000	0.022309
11.950000	0.022707
11.960000	0.023102
11.970000	0.023495
11.980000	0.023887
11.990000	0.024276
12.000000	0.024662
12.010000	0.025047
12.020000	0.025430
12.030000	0.025810
12.040000	0.026189
12.050000	0.026565
12.060000	0.026939
12.070000	0.027311
12.080000	0.027680
12.090000	0.028048
12.100000	0.028414
12.110000	0.028777
12.120000	0.029138
12.130000	0.029497
12.140000	0.029854
12.150000	0.030209
12.160000	0.030562
12.170000	0.030913
12.180000	0.031261
12.190000	0.031607
12.200000	0.031951
12.210000	0.032293
12.220000	0.032633
12.230000	0.032971
12.240000	0.033307
12.250000	0.033640
12.260000	0.033972
12.270000	0.034301
12.280000	0.034628
12.290000	0.034953
12.300000	0.035276
12.310000	0.035596
12.320000	0.035915
12.330000	0.036231
12.340000	0.036546
12.350000	0.036858
12.360000	0.037168
12.370000	0.037476
12.380000	0.037782
12.390000	0.038085
12.400000	0.038387
12.410000	0.038686
12.420000	0.038984
12.430000	0.039279
12.440000	0.039572
12.450000	0.039863
12.460000	0.040152
12.470000	0.040439
12.480000	0.040723
12.490000	0.041006
12.500000	0.041286
12.510000	0.041565
12.520000	0.041841
12.530000	0.042115
12.540000	0.042387
12.550000	0.042657
12.560000	0.042925
12.570000	0.043190
12.580000	0.043454
12.590000	0.043716
12.600000	0.043975
12.610000	0.044232
12.620000	0.044488
12.630000	0.044741
12.640000	0.044992
12.650000	0.045241
12.660000	0.045488
12.670000	0.045733
12.680000	0.045976
12.690000	0.046217
12.700000	0.046455
12.710000	0.046692
12.720000	0.046926
12.730000	0.047159
12.740000	0.047389
12.750000	0.047618
12.760000	0.047844
12.770000	0.048068
12.780000	0.048291
12.790000	0.048511
12.800000	0.048729
12.810000	0.048945
12.820000	0.049159
12.830000	0.049371
12.840000	0.049581
12.850000	0.049789
12.860000	0.049995
12.870000	0.050199
12.880000	0.050401
12.890000	0.050601
12.900000	0.050799
12.910000	0.050995
12.920000	0.051189
12.930000	0.051381
12.940000	0.051571
12.950000	0.051759
12.960000	0.051945
12.970000	0.052129
12.980000	0.052310
12.990000	0.052490
13.000000	0.052668
13.010000	0.052845
13.020000	0.053019
13.030000	0.053191
13.040000	0.053361
13.050000	0.053529
