Time (s)	Position (m)
11.750000	0.013680
11.760000	0.014112
11.770000	0.014541
11.780000	0.014969
11.790000	0.015394
11.800000	0.015817
11.810000	0.016239
11.820000	0.016658
11.830000	0.017075
11.840000	0.017490
11.850000	0.017903
11.860000	0.018314
11.870000	0.018723
11.880000	0.019129
11.890000	0.019534
11.900000	0.019936
11.910000	0.020337
11.920000	0.020735
11.930000	0.021131
11.940000	0.021525
11.950000	0.021917
11.960000	0.022307
11.970000	0.022695
11.980000	0.023081
11.990000	0.023465
12.000000	0.023846
12.010000	0.024226
12.020000	0.024603
12.030000	0.024978
12.040000	0.025352
12.050000	0.025723
12.060000	0.026092
12.070000	0.026458
12.080000	0.026823
12.090000	0.027186
12.100000	0.027546
12.110000	0.027905
12.120000	0.028261
12.130000	0.028616
12.140000	0.028968
12.150000	0.029318
12.160000	0.029666
12.170000	0.030011
12.180000	0.030355
12.190000	0.030697
12.200000	0.031036
12.210000	0.031374
12.220000	0.031709
12.230000	0.032042
12.240000	0.032373
12.250000	0.032702
12.260000	0.033029
12.270000	0.033354
12.280000	0.033677
12.290000	0.033997
12.300000	0.034316
12.310000	0.034632
12.320000	0.034947
12.330000	0.035259
12.340000	0.035569
12.350000	0.035877
12.360000	0.036183
12.370000	0.036487
12.380000	0.036789
12.390000	0.037088
12.400000	0.037386
12.410000	0.037681
12.420000	0.037975
12.430000	0.038266
12.440000	0.038555
12.450000	0.038843
12.460000	0.039128
12.470000	0.039411
12.480000	0.039692
12.490000	0.039970
12.500000	0.040247
12.510000	0.040522
12.520000	0.040794
12.530000	0.041065
12.540000	0.041333
12.550000	0.041600
12.560000	0.041864
12.570000	0.042127
12.580000	0.042387
12.590000	0.042645
12.600000	0.042901
12.610000	0.043155
12.620000	0.043407
12.630000	0.043657
12.640000	0.043905
12.650000	0.044151
12.660000	0.044395
12.670000	0.044636
12.680000	0.044876
12.690000	0.045114
12.700000	0.045350
12.710000	0.045583
12.720000	0.045815
12.730000	0.046044
12.740000	0.046272
12.750000	0.046498
12.760000	0.046721
12.770000	0.046943
12.780000	0.047162
12.790000	0.047380
12.800000	0.047595
12.810000	0.047809
12.820000	0.048020
12.830000	0.048230
12.840000	0.048437
12.850000	0.048642
12.860000	0.048846
12.870000	0.049048
12.880000	0.049247
12.890000	0.049445
12.900000	0.049640
12.910000	0.049834
12.920000	0.050025
12.930000	0.050215
12.940000	0.050403
12.950000	0.050589
12.960000	0.050772
12.970000	0.050954
12.980000	0.051134
12.990000	0.051312
13.000000	0.051488
13.010000	0.051662
13.020000	0.051834
13.030000	0.052004
13.040000	0.052173
13.050000	0.052339
13.060000	0.052503
13.070000	0.052666
13.080000	0.052826
13.090000	0.052985
13.100000	0.053142
13.110000	0.053297
13.120000	0.053450
13.130000	0.053601
13.140000	0.053750
13.150000	0.053897
13.160000	0.054042
13.170000	0.054186
13.180000	0.054328
13.190000	0.054467
13.200000	0.054605
13.210000	0.054741
